term,year,date,pmid,pmcid,link,title,journal,authors,abstract
Illumina Hiseq,2013,2013/1/1:2013/1/31,25202518,4105372,https://www.ncbi.nlm.nih.gov/pubmed/25202518,A targeted enrichment strategy for massively parallel sequencing of angiosperm plastid genomes.,Applications in plant sciences,"Stull GW, Moore MJ, Mandala VS, Douglas NA, Kates HR, Qi X, Brockington SF, Soltis PS, Soltis DE, Gitzendanner MA",
Illumina Hiseq,2013,2013/1/1:2013/1/31,23223431,3714670,https://www.ncbi.nlm.nih.gov/pubmed/23223431,"High frequency of GATA2 mutations in patients with mild chronic neutropenia evolving to MonoMac syndrome, myelodysplasia, and acute myeloid leukemia.",Blood,"Pasquet M, Bellanné-Chantelot C, Tavitian S, Prade N, Beaupain B, Larochelle O, Petit A, Rohrlich P, Ferrand C, Van Den Neste E, Poirel HA, Lamy T, Ouachée-Chardin M, Mansat-De Mas V, Corre J, Récher C, Plat G, Bachelerie F, Donadieu J, Delabesse E","Congenital neutropenia is a group of genetic disorders that involve chronic neutropenia and susceptibility to infections. These neutropenias may be isolated or associated with immunologic defects or extra-hematopoietic manifestations. Complications may occur as infectious diseases, but also less frequently as myelodysplastic syndrome (MDS) or acute myeloid leukemia (AML). Recently, the transcription factor GATA2 has been identified as a new predisposing gene for familial AML/MDS. In the present study, we describe the initial identification by exome sequencing of a GATA2 R396Q mutation in a family with a history of chronic mild neutropenia evolving to AML and/or MDS. The subsequent analysis of the French Severe Chronic Neutropenia Registry allowed the identification of 6 additional pedigrees and 10 patients with 6 different and not previously reportedGATA2 mutations (R204X, E224X, R330X, A372T, M388V, and a complete deletion of the GATA2 locus). The frequent evolution to MDS and AML in these patients reveals the importance of screening GATA2 in chronic neutropenia associated with monocytopenia because of the frequent hematopoietic transformation, variable clinical expression at onset, and the need for aggressive therapy in patients with poor clinical outcome."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23371026,3650335,https://www.ncbi.nlm.nih.gov/pubmed/23371026,Identification of potential glycan cancer markers with sialic acid attached to sialic acid and up-regulated fucosylated galactose structures in epidermal growth factor receptor secreted from A431 cell line.,Molecular & cellular proteomics : MCP,"Wu SL, Taylor AD, Lu Q, Hanash SM, Im H, Snyder M, Hancock WS","We have used powerful HPLC-mass spectrometric approaches to characterize the secreted form of epidermal growth factor receptor (sEGFR). We demonstrated that the amino acid sequence lacked the cytoplasmic domain and was consistent with the primary sequence reported for EGFR purified from a human plasma pool. One of the sEGFR forms, attributed to the alternative RNA splicing, was also confirmed by transcriptional analysis (RNA sequencing). Two unusual types of glycan structures were observed in sEGFR as compared with membrane-bound EGFR from the A431 cell line. The unusual glycan structures were di-sialylated glycans (sialic acid attached to sialic acid) at Asn-151 and N-acetylhexosamine attached to a branched fucosylated galactose with N-acetylglucosamine moieties (HexNAc-(Fuc)Gal-GlcNAc) at Asn-420. These unusual glycans at specific sites were either present at a much lower level or were not observable in membrane-bound EGFR present in the A431 cell lysate. The observation of these di-sialylated glycan structures was consistent with the observed expression of the corresponding α-N-acetylneuraminide α-2,8-sialyltransferase 2 (ST8SiA2) and α-N-acetylneuraminide α-2,8-sialyltransferase 4 (ST8SiA4), by quantitative real time RT-PCR. The connectivity present at the branched fucosylated galactose was also confirmed by methylation of the glycans followed by analysis with sequential fragmentation in mass spectrometry. We hypothesize that the presence of such glycan structures could promote secretion via anionic or steric repulsion mechanisms and thus facilitate the observation of these glycan forms in the secreted fractions. We plan to use this model system to facilitate the search for novel glycan structures present at specific sites in sEGFR as well as other secreted oncoproteins such as Erbb2 as markers of disease progression in blood samples from cancer patients."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23371947,3584531,https://www.ncbi.nlm.nih.gov/pubmed/23371947,Arabidopsis paired amphipathic helix proteins SNL1 and SNL2 redundantly regulate primary seed dormancy via abscisic acid-ethylene antagonism mediated by histone deacetylation.,The Plant cell,"Wang Z, Cao H, Sun Y, Li X, Chen F, Carles A, Li Y, Ding M, Zhang C, Deng X, Soppe WJ, Liu YX","Histone (de)acetylation is a highly conserved chromatin modification that is vital for development and growth. In this study, we identified a role in seed dormancy for two members of the histone deacetylation complex in Arabidopsis thaliana, SIN3-LIKE1 (SNL1) and SNL2. The double mutant snl1 snl2 shows reduced dormancy and hypersensitivity to the histone deacetylase inhibitors trichostatin A and diallyl disulfide compared with the wild type. SNL1 interacts with HISTONE DEACETYLASE19 in vitro and in planta, and loss-of-function mutants of SNL1 and SNL2 show increased acetylation levels of histone 3 lysine 9/18 (H3K9/18) and H3K14. Moreover, SNL1 and SNL2 regulate key genes involved in the ethylene and abscisic acid (ABA) pathways by decreasing their histone acetylation levels. Taken together, we showed that SNL1 and SNL2 regulate seed dormancy by mediating the ABA-ethylene antagonism in Arabidopsis. SNL1 and SNL2 could represent a cross-link point of the ABA and ethylene pathways in the regulation of seed dormancy."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23405357,3569361,https://www.ncbi.nlm.nih.gov/pubmed/23405357,"Genome Sequence of Klebsiella pneumoniae Ecl8, a Reference Strain for Targeted Genetic Manipulation.",Genome announcements,"Fookes M, Yu J, De Majumdar S, Thomson N, Schneiders T","We report the genome sequence of Klebsiella pneumoniae subsp. pneumoniae Ecl8, a spontaneous streptomycin-resistant mutant of strain ECL4, derived from NCIB 418. K. pneumoniae Ecl8 has been shown to be genetically tractable for targeted gene deletion strategies and so provides a platform for in-depth analyses of this species."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23405349,3569351,https://www.ncbi.nlm.nih.gov/pubmed/23405349,Draft genome sequence of a subarctic humic substance-degrading pseudomonad.,Genome announcements,"Park HJ, Shin SC, Kim D",The Pseudomonas sp. PAMC 26793 was isolated because of its high ability to degrade humic acids from a subarctic grassland in Alaska. We sequenced the PAMC 26793 genome to discover the genes for degradation of natural humic substances and to provide further information for the degradation process of soil bacteria in a low-temperature environment.
Illumina Hiseq,2013,2013/1/1:2013/1/31,23382819,3561362,https://www.ncbi.nlm.nih.gov/pubmed/23382819,Multi-platform analysis of microRNA expression measurements in RNA from fresh frozen and FFPE tissues.,PloS one,"Kolbert CP, Feddersen RM, Rakhshan F, Grill DE, Simon G, Middha S, Jang JS, Simon V, Schultz DA, Zschunke M, Lingle W, Carr JM, Thompson EA, Oberg AL, Eckloff BW, Wieben ED, Li P, Yang P, Jen J","MicroRNAs play a role in regulating diverse biological processes and have considerable utility as molecular markers for diagnosis and monitoring of human disease. Several technologies are available commercially for measuring microRNA expression. However, cross-platform comparisons do not necessarily correlate well, making it difficult to determine which platform most closely represents the true microRNA expression level in a tissue. To address this issue, we have analyzed RNA derived from cell lines, as well as fresh frozen and formalin-fixed paraffin embedded tissues, using Affymetrix, Agilent, and Illumina microRNA arrays, NanoString counting, and Illumina Next Generation Sequencing. We compared the performance within- and between the different platforms, and then verified these results with those of quantitative PCR data. Our results demonstrate that the within-platform reproducibility for each method is consistently high and although the gene expression profiles from each platform show unique traits, comparison of genes that were commonly detectable showed that detection of microRNA transcripts was similar across multiple platforms."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23382690,3561070,https://www.ncbi.nlm.nih.gov/pubmed/23382690,Unlocking the bottleneck in forward genetics using whole-genome sequencing and identity by descent to isolate causative mutations.,PLoS genetics,"Bull KR, Rimmer AJ, Siggs OM, Miosge LA, Roots CM, Enders A, Bertram EM, Crockford TL, Whittle B, Potter PK, Simon MM, Mallon AM, Brown SD, Beutler B, Goodnow CC, Lunter G, Cornall RJ","Forward genetics screens with N-ethyl-N-nitrosourea (ENU) provide a powerful way to illuminate gene function and generate mouse models of human disease; however, the identification of causative mutations remains a limiting step. Current strategies depend on conventional mapping, so the propagation of affected mice requires non-lethal screens; accurate tracking of phenotypes through pedigrees is complex and uncertain; out-crossing can introduce unexpected modifiers; and Sanger sequencing of candidate genes is inefficient. Here we show how these problems can be efficiently overcome using whole-genome sequencing (WGS) to detect the ENU mutations and then identify regions that are identical by descent (IBD) in multiple affected mice. In this strategy, we use a modification of the Lander-Green algorithm to isolate causative recessive and dominant mutations, even at low coverage, on a pure strain background. Analysis of the IBD regions also allows us to calculate the ENU mutation rate (1.54 mutations per Mb) and to model future strategies for genetic screens in mice. The introduction of this approach will accelerate the discovery of causal variants, permit broader and more informative lethal screens to be used, reduce animal costs, and herald a new era for ENU mutagenesis."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23363771,3667500,https://www.ncbi.nlm.nih.gov/pubmed/23363771,Gut microbiomes of Malawian twin pairs discordant for kwashiorkor.,"Science (New York, N.Y.)","Smith MI, Yatsunenko T, Manary MJ, Trehan I, Mkakosya R, Cheng J, Kau AL, Rich SS, Concannon P, Mychaleckyj JC, Liu J, Houpt E, Li JV, Holmes E, Nicholson J, Knights D, Ursell LK, Knight R, Gordon JI","Kwashiorkor, an enigmatic form of severe acute malnutrition, is the consequence of inadequate nutrient intake plus additional environmental insults. To investigate the role of the gut microbiome, we studied 317 Malawian twin pairs during the first 3 years of life. During this time, half of the twin pairs remained well nourished, whereas 43% became discordant, and 7% manifested concordance for acute malnutrition. Both children in twin pairs discordant for kwashiorkor were treated with a peanut-based, ready-to-use therapeutic food (RUTF). Time-series metagenomic studies revealed that RUTF produced a transient maturation of metabolic functions in kwashiorkor gut microbiomes that regressed when administration of RUTF was stopped. Previously frozen fecal communities from several discordant pairs were each transplanted into gnotobiotic mice. The combination of Malawian diet and kwashiorkor microbiome produced marked weight loss in recipient mice, accompanied by perturbations in amino acid, carbohydrate, and intermediary metabolism that were only transiently ameliorated with RUTF. These findings implicate the gut microbiome as a causal factor in kwashiorkor."
Illumina Hiseq,2013,2013/1/1:2013/1/31,23363372,3599046,https://www.ncbi.nlm.nih.gov/pubmed/23363372,Comparison and contrast of genes and biological pathways responding to Marek's disease virus infection using allele-specific expression and differential expression in broiler and layer chickens.,BMC genomics,"Perumbakkam S, Muir WM, Black-Pyrkosz A, Okimoto R, Cheng HH","Marek's disease (MD) is a commercially important neoplastic disease of chickens caused by the Marek's disease virus (MDV), a naturally occurring oncogenic alphaherpesvirus. Enhancing MD genetic resistance is desirable to augment current vaccines and other MD control measures. High throughput sequencing was used to profile splenic transcriptomes from individual F1 progeny infected with MDV at 4 days of age from both outbred broilers (meat-type) and inbred layer (egg-type) chicken lines that differed in MD genetic resistance. The resulting information was used to identify SNPs, genes, and biological pathways exhibiting allele-specific expression (ASE) in response to MDV infection in each type of chicken. In addition, we compared and contrasted the results of pathway analyses (ASE and differential expression (DE)) between chicken types to help inform on the biological response to MDV infection."
